Name,Description
Marigold," Marigolds are annual plants that thrive in well-drained, fertile soil. They are typically grown in February-March, require moderate watering, and bloom throughout the summer."
Sunflower," Sunflowers are annual plants grown in March-April. They need moderate to high water levels and prefer loamy, well-drained soil with ample sunlight."
Zinnia," Zinnias are annuals that grow best in March-May. They need low to moderate water and flourish in well-drained, fertile soil under full sun."
Petunia, Petunias are annual plants that grow from March-April. They require moderate watering and prefer sandy or loamy soil with good drainage.
Begonia," Begonias are perennials grown in February-April. They thrive in rich, well-drained soil with moderate water levels and partial shade."
Celosia," Celosias are annual plants grown in April-May. They require moderate to high watering and fertile, well-drained soil to thrive."
Vinca (Periwinkle)," Vincas are perennials that grow from March-May. They need minimal watering and prefer sandy, well-drained soil under direct sunlight."
Dahlia," Dahlias are perennials grown in March-April. They require moderate to high water levels and flourish in fertile, well-drained soil."
Impatiens," Impatiens are annual plants grown in March-April. They need high water levels and moist, well-drained soil, ideally in partial shade."
Cosmos," Cosmos are annuals grown in April-May. They require low water levels and thrive in sandy, well-drained soil under full sunlight."
Lavender," Lavender is a perennial plant grown in February-March. It requires minimal water and prefers alkaline, well-drained soil in sunny locations."
Geranium," Geraniums are perennials that grow in February-April. They need moderate watering and thrive in fertile, well-drained soil under partial sunlight."
Nasturtium," Nasturtiums are annuals that grow from March-April. They require moderate watering and prefer light, well-drained soil with full sun exposure."
Hibiscus," Hibiscus plants are perennials grown from March-May. They need high water levels and thrive in rich, moist soil with ample sunlight."
Bougainvillea, Bougainvilleas are perennials that grow in February-April. They require minimal watering and prefer sandy or loamy soil in full sun.
Gladiolus," Gladiolus plants are perennials grown in February-March. They require moderate watering and thrive in rich, sandy soil under full sunlight."
Portulaca (Moss Rose)," Portulacas are annuals grown in April-May. They require minimal water and flourish in sandy, well-drained soil under full sun."
Canna," Cannas are perennials that grow from March-May. They require high water levels and thrive in rich, moist soil in sunny locations."
Morning Glory, Morning Glories are annual plants grown in March-April. They require moderate watering and well-drained soil under direct sunlight.
Ageratum," Ageratum is an annual plant grown in March-April. It requires moderate watering and thrives in rich, well-drained soil under full sunlight."
Sweet Alyssum," Sweet Alyssum is an annual plant grown in March-May. It requires low to moderate water and prefers well-drained, sandy soil."
Coleus," Coleus is a perennial grown in April-May. It needs moderate water and thrives in rich, moist, well-drained soil with partial sunlight."
Gaillardia (Blanket Flower)," Gaillardia is a perennial grown in March-May. It needs low water and prefers sandy or rocky, well-drained soil under full sunlight."
Tithonia (Mexican Sunflower)," Tithonia is an annual plant grown in April-May. It requires moderate water and thrives in well-drained, fertile soil in sunny locations."
Lantana, Lantana is a perennial plant grown year-round in tropical climates. It needs low water and grows well in sandy or loamy soil under full sunlight.
Caladium," Caladium is a perennial grown in March-May. It requires high water levels and thrives in rich, moist soil in shaded or semi-shaded areas."
Plumbago," Plumbago is a perennial plant grown in February-May. It requires moderate watering and prefers well-drained, loamy soil under full sun."
Coreopsis," Coreopsis is a perennial grown in March-April. It requires low water and thrives in well-drained, sandy soil under direct sunlight."
Salvia (Scarlet Sage)," Salvia is an annual plant grown in March-April. It requires moderate watering and prefers fertile, well-drained soil in sunny areas."
Crocosmia," Crocosmia is a perennial plant grown in February-March. It needs moderate watering and grows well in fertile, moist, but well-drained soil."
Rudbeckia (Black-Eyed Susan)," Rudbeckia is a perennial plant grown in March-May. It requires moderate watering and thrives in rich, loamy soil under full sun."
